report_date,descr_stage,report_text,event_date,date_source,assigned_carrier,ac_manufacturer,ac_family,ac_standard_name,ac_reported_name,ac_number_of_ac,geo_loc,geo_loc_ind,geo_loc2,geo_nlocs,geo_iso_code,geo_country,geo_lat,geo_long,descr_part,descr_action,descr_adjective,descr_condition
2008-09-07,departure,"Iran Air B74S at Mumbai on Sep 2nd 2008, engine fire on takeoff",2008-09-02,Extracted,iran air,boeing,747 family,B747,B74S,1,Mumbai,at,Mumbai,1,IND,India,19.0886993408,72.8678970337,,fire,,
2008-09-07,,"Jetblue Airways E190 near Raleigh Durham on Sep 6th 2008, unruly passengers",2008-09-06,Extracted,jetblue,embraer,EMB190 family,E190,E190,1,Raleigh Durham,near,Raleigh Durham,1,NA,NA,NA,NA,passenger,,,
2008-09-07,,"Jetblue Airways E190 near Raleigh Durham on Sep 6th 2008, unruly passengers",2008-09-06,Extracted,jetblue airways,embraer,EMB190 family,E190,E190,1,Raleigh Durham,near,Raleigh Durham,1,NA,NA,NA,NA,passenger,,,
2008-09-07,,"Jetblue Airways E190 near Raleigh Durham on Sep 6th 2008, unruly passengers",2008-09-06,Extracted,blue,embraer,EMB190 family,E190,E190,1,Raleigh Durham,near,Raleigh Durham,1,NA,NA,NA,NA,passenger,,,
2008-09-07,departure,"Kingfisher A320 at Delhi on Sep 7th 2008, rejected takeoff due to police car",2008-09-07,Extracted,kingfisher,airbus,A320 family,A320,A320,1,Delhi,at,Delhi,1,IND,India,28.67,77.21,,rejected,,
2008-09-07,departure,"Spanair MD83 at Madrid on Sep 5th 2008, rejected takeoff",2008-09-05,Extracted,spanair,mcdonnell_douglas,MD80 family,MD83,MD83,1,Madrid,at,Madrid,1,ESP,Spain,40.42,-3.71,,rejected,,
2008-09-07,,"United[[:space:]]Airlines B744 near Chicago on Sep 6th 2008, temperature probe problem",2008-09-06,Extracted,NA,boeing,747 family,B747,B744,1,,,,1,NA,NA,NA,NA,,problem,,
2008-09-07,enroute,"United Airlines B772 near Las Vegas on Sep 3rd 2008, compressor stalls enroute",2008-09-03,Extracted,united,boeing,777 family,B777,B772,1,Las Vegas,near,Las Vegas,1,USA,USA,36.21,-115.22,,stall,,
2008-09-07,enroute,"United Airlines B772 near Las Vegas on Sep 3rd 2008, compressor stalls enroute",2008-09-03,Extracted,united airlines,boeing,777 family,B777,B772,1,Las Vegas,near,Las Vegas,1,USA,USA,36.21,-115.22,,stall,,
2008-09-07,enroute,"United Airlines B772 near Las Vegas on Sep 3rd 2008, compressor stalls enroute",2008-09-03,Extracted,united[[:space:]]airlines,boeing,777 family,B777,B772,1,Las Vegas,near,Las Vegas,1,USA,USA,36.21,-115.22,,stall,,
