orig_text,reporting_date
"Lan  Chile A340 over Pacific on Mar 27th 2007, space object nearly hit aircraft",2007-03-26
"Allegiant MD83 at Orlando on Mar 29th 2007, landing without nosegear",2007-03-29
"Fedex ATR72 between Paris and Vienna on Mar 31st 2007, freight workers locked in cargo bay",2007-04-01
"Air India A310 at New Delhi on April 9th 2007, nose gear collapsed  while towed after emergency landing",2007-04-09
"Turkish A319 at Agri on March 23rd 2007, got stuck on the runway after landing",2007-04-09
"Alitalia A321 at Napoli on Apr 9th 2007, brakes failed after landing, final stop on opposite taxiway",2007-04-10
"Continental B777 near Tel Aviv on Apr 11th 2007, in danger of being shot down",2007-04-11
"Ariana A300 at Kabul on Aug 30th 2004, nearly collided with UAV",2007-04-15
"Garuda B747 over Bay of Bengal on Apr 12th 2007, nearly collided with an Indian ballistic missile",2007-04-15
"PIA A310 at Karachi on Apr 17th 2007, emergency landing with pitot problems",2007-04-15
"Lufthansa B744 at Cologne on Apr 19th 2007, electrical smoke in cockpit",2007-04-19
"Thomsonfly B757 at Manchester on Apr 29th 2007, bird strikes on takeoff, engine on fire",2007-04-20
"TUIFly B738 at Paris on Apr 19th 2007, smoke in cabine",2007-04-20
"Delta B777 at Tokyo on Apr 28th 2007, multiple engine surges on rotation",2007-04-30
"Royal Air Maroc B735 at Mali on May 2nd 2007, runway overrun on rejected takeoff",2007-05-08
Gulf Air A340 dropped engine,2007-05-09
"Virgin Atlantic A340 and Skywest EMB at LAX on May 6th 2007, A340 wing missed EMB120 by 21 feet on landing",2007-05-12
"Aviajet MD-83 between  Dublin and Faro on May 10th 2007, suffered leading edge and fuselage damage in cruise",2007-05-15
El Al 747 at LFCP 13APR2007 - taxied over pushback tractor,2007-05-15
"Paramount EMB170 at  Visakhapatnam on May 12th 2007, overran runway and stopped in arrestor bed",2007-05-15
"LAN A340 at Buenos Aires on May 18th 2007, rejected takeoff due to runway incursion by towed plane",2007-05-17
"VLM F50 at Eelde on May 18th 2007, overshot runway on landing",2007-05-19
"Condor B757 near Athens on May 20th 2007, lightening strike enroute prompts diversion to Athens",2007-05-22
"RyanAir B738 at Stansted on May 13th 2007, temporary loss of flight displays",2007-05-22
"Israir A320 at Berlin-Schönefeld on May 22nd, smoke in cabine",2007-05-23
"Thomsonfly B757 near Barcelona on May 24th 2007, midair collision with weather balloon",2007-05-23
"PalmAir B737 at Bournemouth on May 24th 2007, bee strike on takeoff",2007-05-25
"Chalk Ocean Airways Mallard off Miami on December 19th 2005, airplane on fire crashes into sea",2007-05-26
diversion to Venice,2007-05-26
"Go! CRJ200 at Honolulu on May 19th 2007 (?), runway incursion by a C-130 during takeoff",2007-05-26
"UAL B744 at Washington on May 25th 2007, engine fire on takeoff",2007-05-26
"KLM B777 near St. Petersburg on May 30th 2007, severe turbulence enroute",2007-05-31
"Jazz CRJ100 at Toronto on May 21st, gear collapse on taxiing off the runway",2007-06-02
"MapJet MD-83 at Lanzarote on June 5th 2007, roll problems on takeoff, amazing recovery",2007-06-05
"Onur MD-83 at Manchester on June 11th 2007, uncontained engine failure on takeoff",2007-06-08
